"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",64
"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",67
"The quick brown fox jumps over the lazy dog.","Thd qulck brown fox jumps over the lazy dog.",44
"The quick brown fox jumps over the lazy dog.","Thequick brown fox jumps over the lazy dog.",43
"The quick brown fox jumps over the lazy dog.","The quick Brown fox jumps over the lazy dog.  .",86
"The quick brown fox jumps over the lazy dog.","The quick Brown dog jumps over the lazy fox.",84
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its blue skies and abundant life, planet earth is a pretty special place.",117
"A salmon's sense of smell is thousands of times better than a dog's.","A Salmon's sense of smell is thousands of times better than a dog's.",101
"When a book lover is in charge of the floor plan.","When a book lover is in charge of the floor plan.",75
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a healthy tree is equal to ten air conditioners operating tine hours a day.",162
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its bune skies and abundant life, puanet earth is a pretty special place.",78
"A salmon's sense of smell is thousands of times better than a dog's.","Asalmon's sense of smell is thousands of times better than a dogs.",66
"When a book lover is in charge of the floor plan.","When a book lover is in charge of the floor plan.",49
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling offect of a healthy tree is equal to 10 air conditioners operating 20 hours a day8.",99
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its blue skies and abundant life,  planet earth is a pretty special place.  .",159
"A salmon's sense of smell is thousands of times better than a dog's.","A Salmon's sense of smell is thousands of times better than a dog's.  .",130
"When a book lover is in charge of the floor plan.","When a book lover is in charge of the floor plan .",96
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a health tree is equal to 1/ air conditioners operating 20 hours a day.",185
