"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",1
"The quick brown fox jumps over the lazy dog.","The qucij brown fox jumps over the lazy dog.",2
"The quick brown fox jumps over the lazy dog.","The qick bbrod Oog jubps over the nazy oog.",3
"The quick brown fox jumps over the lazy dog.","The qoiok brown fox jumps over the lazy oog.",31
"The quick brown fox jumps over the lazy dog.","The quick Brown fox jumps over the lazy dog.",1
"The quick brown fox jumps over the lazy dog.","The quick Brown fox jumps over the lazy dog.",104
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its blue skies and abundant life planet Earth is a pretty special plac.",84
"A salmon's sense of smell is thousands of times better than a dog's.","A Salmon's sense of smell is thousands of times better than a dog's.",69
"When a book lover is in charge of the floor plan.","When a book lover is in charge of the floor plan.",68
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.",100
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its bnue skies ano abundant life, planet earth is a pretty special place.",84
"A salmon's sense of smell is thousands of times better than a dog's.","A salmons sensce of smell is thoosand of times than a dogs.",67
"When a book lover is in charge of the floor plan.","When a book lover is in charge of the floor plan.",49
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effects of a heathly tree is equal to 10 air coditioners operating 20 hours a day.",102
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its blue skies and ablbuant life planet earth is a pretty special place.",173
"A salmon's sense of smell is thousands of times better than a dog's.","A Salmon's sense of smell is thousands of times better than a dog's.",126
"When a book lover is in charge of the floor plan.","When a book lover is in charge of the floor plan.",99
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a healthy tree 🌲 is equal to air conditioners operating 20 hours a day.",197
