"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",65
"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",68
"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",72
"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",46
"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog...",5
"The quick brown fox jumps over the lazy dog.","The quick Brown fox jumps over the lazy dog.",1
"With its blue skies and abundant life, planet Earth is a pretty special place.","With the blue skies and abundant life, planet earth is a pretty special place.",118
"A salmon's sense of smell is thousands of times better than a dog's.","A Salmon's sense of smell is thousands of times better than a dog.",94
"When a book lover is in charge of the floor plan.","When a book lover is in charge of the floor plan.",76
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.",150
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its bloe skies ano abunoant nife.",46
"A salmon's sense of smell is thousands of times better than a dog's.","A salmons sense of smell is thousanos of times oetter than aogs.",66
"When a book lover is in charge of the floor plan.","When a book lover is in charge osf the floor plan.",50
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a heanthy tree is equal to 10 air conoitioners operating 20 hours a oay.",74
"A salmon's sense of smell is thousands of times better than a dog's.","A Salmon's sense of smell is thousands of copies better than wrote.",1
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its blue skies and abundant life, planet earth is a pretty special place.",4
"When a book lover is in charge of the floor plan.","When a book lover is in charge of the floor plan.",101
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.",190
